Location_Name,County,Operator,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Latitude,Longitude,Phone,URL,Languages,Devices_available,Accessibility,Clients,Public
Moses Lake Community Library,Grant,North Central Regional Library,Library,418 E 5th Ave,Moses Lake,Washington,98837-1797,US,47.1305776026579,-119.272333296308,[+1] 509-765-3489,http://www.ncrl.org/moseslake.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Argonne Library,Spokane,Spokane County Library District,Library,4322 N Argonne Rd,Spokane,Washington,99212-1868,US,47.6962478261477,-117.282786648945,[+1] 509-893-8260,http://www.scld.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Kirkland Library,King,King County Library System,Library,308 Kirkland Ave,Kirkland,Washington,98033-6221,US,47.6755720508040,-122.203223106397,[+1] 425-822-2459,http://www.kcls.org/kirkland/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Carnation Library,King,King County Library System,Library,4804 Tolt Ave,Carnation,Washington,98014,US,47.6508320636680,-121.912208672732,[+1] 425-333-4398,http://www.kcls.org/carnation/,"English, Language Line Services","Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
New Futures Arbor Heights,King,New Futures,Housing,135 SW 116th St,Burien,Washington,98146,US,47.4686200004128,-122.340359999714,[+1] 206-244-0533,http://newfutures.org/our-programs/our-sites/arbor-heights/,"English, Spanish",Computer,None,On-site Residents,Limited Users
Ballard Library,King,Seattle Public Library,Library,5614 22nd Ave. N.W.,Seattle,Washington,98107,US,47.6696728601818,-122.384721460146,[+1] 206-684-4089,http://www.spl.org/locations/ballard-branch/bal-computers-and-equipment,"English, Language Line Services","Computer, Wi-Fi","None, Wheelchair accessible","Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Mill Creek Library,Snohomish,Sno-Isle Libraries,Library,15429 Bothell Everett Hwy,Mill Creek,Washington,98012-1212,US,47.8578649880332,-122.218715606758,[+1] 425-337-4822,http://www.sno-isle.org,"English, Russian, Spanish, French, Ukranian, Hindi, Oriya, Punjabi","Computer, Wi-Fi, Adaptive Laptops","Deaf, Wheelchair accessible","Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Delridge Branch,King,Seattle Public Library,Library,5423 Delridge Way S.W.,Seattle,Washington,98106,US,47.5533055714337,-122.363083786447,[+1] 206-733-9125,http://www.spl.org/locations/delridge-branch/dlr-computers-and-equipment,"English, Vietnamese, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Brewster Community Library,Okanogan,North Central Regional Library,Library,108 S Third,Brewster,Washington,98812-0280,US,48.0996700002704,-119.780909999796,[+1] 509-689-4046,http://www.ncrl.org/brewster.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Skyway Library,King,King County Library System,Library,7614 South 126 St,Seattle,Washington,98178,US,47.4906987831308,-122.237673315136,[+1] 206-772-5541,http://www.kcls.org/skyway/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Ocean Park Timberland Library,Pacific,Timberland Regional Library,Library,1308 256th Place,Ocean Park,Washington,98640-0310,US,46.4878238433859,-124.051652073399,[+1] 360-665-4184,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Yakama Nation Library,Yakima,Yakama Nation,Library,Spiel-yi LoopP.O. Box 151,Toppenish,Washington,98948,US,46.3750800001420,-120.312980000126,[+1] 509-865-2800,http://www.yakamamuseum.com/ynlibrary.php,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Yelm Timberland Library,Thurston,Timberland Regional Library,Library,210 Prarie Park St SE,Yelm,Washington,98597-7699,US,46.9392987989732,-122.599223599709,[+1] 360-458-3374,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Garfield Computer Lab,King,Associated Recreation Council - RecTech,Government/Public Community Center,2323 East Cherry St,Seattle,Washington,98122,US,47.6079515258522,-122.302456626791,[+1] 206-684-4788,http://www.seattle.gov/parks/rectech/labs/garfield/,English,Wi-Fi,None,"Adults, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Leavenworth Community Library,Chelan,North Central Regional Library,Library,700 Hwy 2,Leavenworth,Washington,98826,US,47.5942501648716,-120.665227701151,[+1] 509-548-7923,http://www.ncrl.org/leavenworth.htm,"English, Russian, Spanish",Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Tieton Library,Yakima,Yakima Valley Libraries,Library,418 Maple St,Tieton,Washington,98947,US,46.7023389563781,-120.755330804883,[+1] 509-673-2621,http://www.yvl.org,"English, Spanish",Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
South Park Branch,King,Seattle Public Library,Library,8604 Eighth Ave. S.,Seattle,Washington,98108,US,47.5262130100679,-122.322893070632,[+1] 206-615-1688,http://www.spl.org/locations/south-park-branch/spa-computers-and-equipment,"English, Spanish, Language Line Services",Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
North Fork Public Library,Whatcom,Whatcom County Library System,Library,7506 Kendall Road,Maple Falls,Washington,98266,US,48.9236900001935,-122.077279999572,[+1] 360-599-2020,http://www.wcls.org,English,Wi-Fi,None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Enumclaw Public Library,King,Enumclaw Public Library,Library,1700 1st St,Enumclaw,Washington,98022-3460,US,47.2036177297652,-121.986733238967,[+1] 360-825-2938,http://www.enumclaw.lib.wa.us/,English,Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Soap Lake Community Library,Grant,North Central Regional Library,Library,32 E Main,Soap Lake,Washington,98851,US,47.3889799997273,-119.483230000364,[+1] 509-246-1313,http://www.ncrl.org/soaplake.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Boulevard Park Library,King,King County Library System,Library,12015 Roseberg Ave S,Seattle,Washington,98168-2358,US,47.4953662644629,-122.307595602914,[+1] 206-242-8662,http://www.kcls.org/boulevardpark/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
West Seattle Branch,King,Seattle Public Library,Library,2306 42nd Ave. S.W.,Seattle,Washington,98116,US,47.5828613046935,-122.385072195738,[+1] 206-684-7444,http://www.spl.org/locations/west-seattle-branch/wst-computers-and-equipment,"English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Denny Ashby Library,Garfield,Denny Ashby Library,Library,856 Arlington St,Pomeroy,Washington,99347,US,46.4708813435860,-117.598927976463,[+1] 509-843-3710,http://www.pomeroy.lib.wa.us/,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
New Futures Woodridge Park,King,New Futures,Housing,12420 28th Ave S#29 & #30,Burien,Washington,98168,US,47.4686200004128,-122.340359999714,[+1] 206-242-2207,http://newfutures.org/our-programs/our-sites/woodridge-park/,"English, Spanish",Computer,None,On-site Residents,Limited Users
White Swan Library,Yakima,Yakima Valley Libraries,Library,White Swan Library,White Swan,Washington,98952,US,46.3828699996509,-120.730630000274,[+1] 509-874-2060,http://www.yvl.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Rainier Beach Branch,King,Seattle Public Library,Library,9125 Rainier Ave. S.,Seattle,Washington,98118,US,47.5215275422953,-122.270030921750,[+1] 206-386-1906,http://www.spl.org/locations/rainier-beach-branch/rbe-computers-and-equipment,"English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
San Juan Island Library District,San Juan,San Juan Island Library District,Library,1010 Guard St,Friday Harbor,Washington,98250-9240,US,48.5362775540559,-123.030317765320,[+1] 360-378-2798,http://www.sjlib.org/,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Shoreline Library,King,King County Library System,Library,345 NE 175th St,Shoreline,Washington,98155-3517,US,47.7558407399261,-122.325963775856,[+1] 206-362-7550,http://www.kcls.org/shoreline/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Beacon Hill Library,King,Seattle Public Library,Library,2821 Beacon Ave. S.,Seattle,Washington,98144,US,47.5781758369209,-122.311219870692,[+1] 206-684-4711,http://www.spl.org/locations/beacon-hill-branch/bea-computers-and-equipment,"Chinese, English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Warden Community Library,Grant,North Central Regional Library,Library,205 S Main St,Warden,Washington,98857,US,46.9685998475501,-119.040672831835,[+1] 509-349-2226,http://www.ncrl.org/warden.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Lopez Island Family Resource Center,San Juan,Lopez Island Family Resource Center,Human Services/Non-profit (non-residential),160 Village Road,Lopez Island,Washington,98261,US,48.5248471710635,-122.912074904908,[+1] 360-468-4117,http://lifrc.org/,Spanish,Computer,None,"Adults, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Clinton Library,Island,Sno-Isle Libraries,Library,4781 Deer Lake Rd,Clinton,Washington,98236-0530,US,47.9785989704667,-122.358056561978,[+1] 360-341-4280,http://www.sno-isle.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Burlington Public Library,Skagit,Burlington Public Library,Library,820 E Washington Ave,Burlington,Washington,98233,US,48.4747009747097,-122.323909304525,[+1] 360-755-0760,http://www.ci.burlington.wa.us/,"English, Spanish","Computer, Wi-Fi",None,"Adults, Immigrants/Refugees, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Richmond Beach Library,King,King County Library System,Library,19601 21 Ave NW,Shoreline,Washington,98177,US,47.7712713287263,-122.384294135796,[+1] 206-546-3522,http://www.kcls.org/richmondbeach/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Burien Library,King,King County Library System,Library,400 SW 152 St,Burien,Washington,98166,US,47.4668667493544,-122.339350663768,[+1] 206-243-3490,http://www.kcls.org/burien/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Seniors, Youth: Teen",All Public
Ferndale Public Library,Whatcom,Whatcom County Library System,Library,2222 Main St,Ferndale,Washington,98248,US,48.8484281257344,-122.602756989223,[+1] 360-384-3647,http://www.wcls.org,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Seattle Public Library (Central Branch),King,Seattle Public Library,Library,1000 Fourth Ave,Seattle,Washington,98104,US,47.6062166977944,-122.332983463801,[+1] 206-386-4636,http://www.spl.org/locations/central-library/cen-computers-and-equipment,"Amharic, Chinese, English, Russian, Spanish, Vietnamese, Language Line Services","Computer, Wi-Fi","Blind/LV, Deaf, Wheelchair accessible","Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",All Public
Sequim Library,Clallam,North Olympic Library System,Library,630 N Sequim Ave,Sequim,Washington,98382-3148,US,48.0858071495795,-123.102254534444,[+1] 360-683-1161,http://www.nols.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Amanda Park Timberland Library,Grays Harbor,Timberland Regional Library,Library,6188 US Hwy 101,Amanda Park,Washington,98526-0089,US,47.4580452637058,-123.904712959990,[+1] 360-288-2725,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Madrona Branch,King,Seattle Public Library,Library,1134 33rd Ave.,Seattle,Washington,98122,US,47.6127817486083,-122.290319626731,[+1] 206-684-4705,http://www.spl.org/locations/madrona-sally-goldmark-branch/mgm-computers-and-equ...,"English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Mount Vernon City Library,Skagit,Mount Vernon City Library,Library,315 Snoqualimie St,Mount Vernon,Washington,98273-4226,US,48.4157722045812,-122.337986521480,[+1] 360-336-6209,http://www.ci.mount-vernon.wa.us/library,English,"Computer, Wi-Fi","Deaf, Wheelchair accessible","Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Garfield Teen Life Center Computer Lab,King,Associated Recreation Council - RecTech,Government/Public Community Center,428 23rd Ave,Seattle,Washington,98122,US,47.6054389347556,-122.302649200137,[+1] 206-684-4550,http://www.seattle.gov/parks/rectech/labs/garfield_teen_life/,English,"Computer, Wi-Fi",None,Youth: Teen,All Public
South Hill Library,Pierce,Pierce County Library Sytem,Library,15420 Meridian E,South Hill,Washington,98388-5107,US,47.1163660000000,-122.294070000000,[+1] 253-548-3303,http://www.piercecountylibrary.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Wapato Library,Yakima,Yakima Valley Libraries,Library,119 E 3rd St,Wapato,Washington,98951-1324,US,46.4459743681337,-120.418821490537,[+1] 509-877-2882,http://www.yvl.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
La Casa Hogar,Yakima,La Casa Hogar,Human Services/Non-profit (non-residential)Faith-based,106 South 6th Street,Yakima,Washington,98901-2927,US,46.6022765368260,-120.497647066405,[+1] 509-457-5058,http://www.lacasahogar.org/,"English, Spanish",Computer,,"Adults, Immigrants/Refugees",
Key Center Library,Pierce,Pierce County Library Sytem,Library,8905 Key Peninsula Hwy N,Lakebay,Washington,98349-9326,US,47.3388212788227,-122.746761529482,[+1] 253-548-3309,http://www.piercecountylibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Crossroads Library Connection,King,King County Library System,Library,15600 NE 8th St,Bellevue,Washington,98008-3946,US,47.6196740000000,-122.130339000000,[+1] 425-644-6203,http://www.kcls.org/crossroads/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Spokane South Hill Library,Spokane,Spokane Public Library,Library,524 S Stone St,Spokane,Washington,99202-4150,US,47.6514443253078,-117.376745916657,[+1] 509-444-5386,http://www.spokanelibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Kalispel Tribe Camas Center for Community Wellness,Pend Oreille,Kalispel Tribe,Human Services/Non-profit (non-residential),1821 N LeClerc Road,Usk,Washington,99180,US,48.3136499997478,-117.280719999628,[+1] 509-447-7139,http://www.kalispeltribe.com/wellness-center/,,Computer,None,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Graham Library,Pierce,Pierce County Library Sytem,Library,902 224th St E,Graham,Washington,98338,US,47.0557599999242,-122.294769999935,[+1] 253-548-3325,http://www.piercecountylibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Renton Public Library,King,King County Library System,Library,100 Mill Ave S,Renton,Washington,98055-2126,US,47.4821026117616,-122.202957748142,[+1] 425-430-6610,http://www.kcls.org/rentonhighlands/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Black Diamond Library,King,King County Library System,Library,24707 Roberts Drive,Black Diamond,Washington,98010,US,47.3120934281119,-122.012977706115,[+1] 360-886-1105,http://www.kcls.org/blackdiamond/,"English, Language Line Services","Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Youth: Pre-teen, Youth: Teen",All Public
Buckley Library,Pierce,Pierce County Library Sytem,Library,123 S River Ave,Buckley,Washington,98321,US,47.1624372492161,-122.029534224674,[+1] 253-548-3310,http://www.piercecountylibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Puyallup Public Library,Pierce,Puyallup Public Library,Library,324 South Meridian,Puyallup,Washington,98371,US,47.1899374629634,-122.293808168590,[+1] 253-841-5454,http://www.cityofpuyallup.org/library/index.php,,"Computer, Wi-Fi","Deaf, Wheelchair accessible","Adults, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Spokane Valley Library,Spokane,Spokane County Library District,Library,12004 E Main Ave,Spokane Valley,Washington,99206-5114,US,47.6588720026099,-117.242497022032,[+1] 509-893-8400,http://www.scld.org,English,"Computer, Wi-Fi","Blind/LV, Wheelchair accessible","Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
Granger Library,Yakima,Yakima Valley Libraries,Library,508 Sunnyside Ave,Granger,Washington,98932,US,46.3455169018020,-120.190062181765,[+1] 509-854-1446,http://www.yvl.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public
